,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx,weights
11418,1,0.83,0.28,0.0,2.1,3.3576349302260886,1.506977574722388,15.272600428535487,-0.07402253818221381,4.580504103423995,0.7730928758018374,-0.0302041135490088,181.4524750342224,4493.3224955734,0.00020833953491087312,0.002686324844311694,0.0181,0.016883965704350412,0.07402253818221381
8011,1,0.96,0.28,0.0,2.1,3.5328854611292604,2.0679107751035573,8.459324558709586,0.1855712673595412,4.461390649539206,0.953641118543078,-0.051924313452174034,142.4854166281711,3259.2291989480027,0.0001746987554650797,0.0027302618755618013,0.0181,0.01606032248216352,0.1855712673595412
14630,1,1.02,0.28,0.0,2.1,3.7192639051167498,2.601241886765091,6.4924266393488015,-0.03951367821454327,4.377267856798524,1.08295605582634,-0.07965646099462184,121.47990638073827,2646.544670436509,0.0001647020988316427,0.002530976374832128,0.0181,0.015066837831824973,0.03951367821454327
469,2,1.16,0.28,0.0,2.1,4.47036744334051,6.4372203099696845,4.199255540080211,0.5703139998290291,4.036648735102873,1.7089379290596582,-0.15690846472421402,65.79739455856014,1194.821244104227,0.00032436103116848344,0.001412095438362737,0.0181,0.012611597743527221,0.5703139998290291
14256,1,1.07,0.28,0.0,2.1,1.807670200620356,1.7423282633615018,5.220910024115425,-0.5108645284767344,4.401052304087312,1.0792210647318476,-0.05777690429047218,124.79663812070869,2769.9125236911273,0.0001507988976415847,0.0028540727632704044,0.0181,0.0158453439446564,0.5108645284767344
9362,1,1.07,0.28,0.0,2.1,3.832942781068542,3.2455367339749386,5.220910024115425,0.2131537676575167,4.297857571933142,1.2153679500917045,-0.12169665249732588,104.71153129498992,2185.5591204765465,0.00014230843958717626,0.0019303291644864884,0.0181,0.01367671894689411,0.2131537676575167
4499,2,1.11,0.28,0.0,2.1,6.49705828413278,9.931026837757416,4.8147557497222335,-0.09456957169656653,3.627895584607821,2.6731592168004217,-0.008014445003608388,32.51945493021816,512.3743685164103,0.0006200451114094428,0.00036470390270926245,0.0181,0.017769046745234777,0.09456957169656653
687,2,1.02,0.28,0.0,2.1,8.569474781208466,9.04917271924148,6.4924266393488015,0.47990121875467184,3.918359428262327,1.8341813902096336,-0.03340086481205107,55.863870265457976,957.9991185514767,0.001255490846249567,0.0008419637320219442,0.0181,0.0167601426249974,0.47990121875467184
18709,2,1.11,0.28,0.0,2.1,5.3477156092134015,6.616432475623265,4.8147557497222335,0.5297160775551704,4.066732829280017,1.6145265124081447,-0.1364853484063555,70.27692271811402,1289.6547244587784,0.0002569499387548924,0.001423648246880349,0.0181,0.013218836363301917,0.5297160775551704
78,2,0.9,0.28,0.0,2.1,13.896932944710493,9.613702523321262,11.034172315856123,0.10180369775397853,3.8258616582892935,1.916333464953644,-0.02571816358844422,48.706588845571936,809.4968001627394,0.0010772821236579397,0.0004376349756584075,0.0181,0.017059268757713998,0.10180369775397853
13416,2,0.93,0.28,0.0,2.1,12.185484551013177,9.327774558877083,9.661852852265543,-0.1675112501093064,3.91732780170937,1.75348693559018,-0.033399616347142835,56.89153663607874,978.6403409471416,0.001212370470632933,0.0005365504034700042,0.0181,0.016760190805393125,0.1675112501093064
