,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx,weights
11423,1,1.1,0.28,0.0,2.1,4.4561412901772055,4.58156050054997,4.961535200625608,1.0922951302799992,4.209335550993226,1.3644990693232926,-0.14954803048127407,89.48379579105902,1786.6551309923013,0.00028024394411699184,0.0024838411229671786,0.0181,0.012827160957813664,1.0922951302799992
8086,1,1.1,0.28,0.0,2.1,4.3357077819338885,4.396920416505412,4.961535200625608,0.3783179345903579,4.2181317737100965,1.3507504858762711,-0.1514026415082196,90.79662787816582,1821.469732522119,0.00041006600495191404,0.0034547024299459994,0.0181,0.012772500647210897,0.3783179345903579
14560,1,1.02,0.28,0.0,2.1,3.3345974124651825,2.356353748116802,6.4924266393488015,0.06666345979190184,4.393871459045515,1.0624513019912083,-0.07111549904791513,124.95796426480123,2750.3295027111767,0.0001632642642229945,0.0026208647681565944,0.0181,0.01536607950139692,0.06666345979190184
456,1,1.18,0.28,0.0,2.1,3.985256389890727,5.860593843157755,3.985256389890727,1.5125580152812061,4.060861228429764,1.6765554116266117,-0.1643242964804833,67.80592778072354,1253.3726138526813,0.00043516045546479145,0.0006239700347676069,0.0181,0.012398075547435211,1.5125580152812061
14093,1,0.91,0.28,0.0,2.1,9.393958171352548,4.910803365275132,10.561674426450939,0.15087980230202397,4.332075577007217,1.0775099197599287,-0.10518696118510774,116.02750510668398,2438.218367369106,0.0003541917964542296,0.0035296480458847923,0.0181,0.014206647792657217,0.15087980230202397
9424,1,1.12,0.28,0.0,2.1,0.8416250340568738,1.360017700697782,4.693988360961042,-0.13209420873480382,4.398568816741472,1.1073101470401965,-0.04153141859830936,122.55034051818029,2727.582101034908,0.00015635890364235725,0.003007323840721207,0.0181,0.01644928996267209,0.13209420873480382
4967,1,0.91,0.28,0.0,2.1,7.731436241434188,3.7053897584966973,10.561674426450939,-0.06754236536016339,4.398475693511454,0.9982228940653524,-0.08906115671704581,129.9023488644035,2842.2605439390477,0.0002308235924770122,0.0026262287084509173,0.0181,0.014744071155936235,0.06754236536016339
717,2,0.88,0.28,0.0,2.1,15.259644991110251,9.901435221573013,12.11448733159481,0.24217707371611058,3.6658650157261774,2.2777417899642303,-0.016632000418518398,36.859837678979396,566.8239764811212,0.0005328443095380525,0.00019048309830149712,0.0181,0.01741993677626413,0.24217707371611058
18717,2,0.87,0.28,0.0,2.1,13.842685718910651,7.366954123109523,12.671148526688686,0.060301729432476976,4.212176410222504,1.208728385439072,-0.09509216944499232,95.88848051866232,1870.0679968115176,0.0002830085670120969,0.0011043890658639643,0.0181,0.014540736532785413,0.060301729432476976
119,2,0.91,0.28,0.0,2.1,11.207095763425407,6.6765577982019595,10.561674426450939,0.008965154124573412,4.2287911365397335,1.212958088586763,-0.09825042039158023,97.43959404563464,1924.9900257592926,0.0003252850344909896,0.0017004854823652327,0.0181,0.014435377794628923,0.008965154124573412
13316,1,0.86,0.28,0.0,2.1,2.4361296092563003,1.4011737365375456,13.258938850590713,0.02912303733187284,4.5735644173628165,0.7932529459620539,-0.02406444225482084,177.62490754884377,4375.01261885624,0.00019698792946336421,0.002742227831906599,0.0181,0.017124351456272925,0.02912303733187284
12892,1,1.18,0.28,0.0,2.1,1.993925202385732,2.422259902114313,3.985256389890727,0.3972783627405082,4.271110313029532,1.3162261772466421,-0.1981342922550844,96.46509777463228,2015.064353898837,0.00032088554658126216,0.004137187945435161,0.0181,0.011469494635741932,0.3972783627405082
6304,2,1.09,0.28,0.0,2.1,4.893522801671812,5.008848129629038,4.824137932989341,-0.384380176803901,4.184929156865134,1.3965355891893785,-0.1363307399989083,86.10952581512824,1686.3811961500242,0.0004436193259010661,0.004146853634912628,0.0181,0.013223543093762637,0.384380176803901
8191,1,1.04,0.28,0.0,2.1,0.2557695717823609,1.0732100114002736,5.9485837932703305,-0.903126979609986,4.487254405260783,0.9634610093455648,-0.005603608388457088,145.73003591346026,3409.0385176956056,0.00019376305170357722,0.0034605284655621522,0.0181,0.01786795979060687,0.903126979609986
17003,1,0.9,0.28,0.0,2.1,9.518587370276805,4.712189058524935,11.034172315856123,0.0352689079005385,4.3503907348494115,1.0492296723639198,-0.10332099706183996,120.05119005890819,2548.2828412614826,0.00023872301155256482,0.00232462372605563,0.0181,0.01426781855709881,0.0352689079005385
