,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx
0,2,1.0765463607143848,0.28,0.0,2.1,7.103506692400919,0.9840107624285177,5.081790012319021,5388.591356313004,3.837762601404732,2.067224200787888,-0.01941136702031681,47.82194983028882,0.0011446101802005577,0.0005298649793886723,0.0181,0.01730880988750236
1,2,0.9555987440125916,0.28,0.0,2.1,11.067166854766233,0.9816194446839802,8.624572596212923,5259.74143171041,3.888721788723224,1.8368776283770885,-0.02841635282384849,53.72701248691729,0.001196653176386145,0.0005102077936163241,0.0181,0.016953611311560444
2,1,0.931790710764543,0.28,0.0,2.1,8.247615923834758,0.6669744096860648,9.565606337475344,5788.657879120317,4.332389237675029,1.0899567019977272,-0.10322936387973604,115.35461561631807,0.00021227642833013236,0.002156032462608093,0.0181,0.014270829287391505
3,1,0.9733723793947712,0.28,0.0,2.1,6.323322657077547,0.6004143142817264,7.972049300410562,5887.619016956758,4.33486170499926,1.1108446645702734,-0.09899795889153372,114.50246584615276,0.00018857852767296623,0.0021953099716520152,0.0181,0.014410551969480096
4,1,0.8236162093393309,0.28,0.0,2.1,3.8838661904103247,0.20171301400884073,15.74157640425576,5284.905710888055,4.5781121145674835,0.7722378108614484,-0.03428871434730582,181.08456333966927,0.00021260373796509757,0.0026726115119721505,0.0181,0.01672591404193506
5,2,1.128017721544052,0.28,0.0,2.1,4.497233580887096,0.7464510404266402,4.593693862495635,6111.682518950109,4.142245560658779,1.4926422915040631,-0.1490723465655128,79.33398924020264,0.000779740047518231,0.0008570776068236308,0.0181,0.012841218278864986
6,2,0.9587073431510392,0.28,0.0,2.1,10.753881119908064,0.9652931034822748,8.510111025240688,5477.187420002735,3.9632477266052097,1.6888071144045953,-0.04127941687293875,61.27288610390487,0.001293646005166313,0.0009101084929685754,0.0181,0.016458837522009974
7,2,1.1990769587260588,0.28,0.0,2.1,4.762658548580776,0.997732265263444,3.7207226349248192,5349.001922250476,3.7625038882592654,2.380431839042122,-0.015042164191317618,40.76192660503392,0.0011617682429124793,0.0005111554626001658,0.0181,0.017483823381675048
8,2,1.128017721544052,0.28,0.0,2.1,5.712633139137792,0.9481831160399677,4.593693862495635,5822.398654450767,3.902071553932285,1.9663132625720323,-0.05550099519586666,53.094620035312225,0.0014371051147899763,0.0018601217667860714,0.0181,0.015928599020745046
9,2,0.934012845601648,0.28,0.0,2.1,11.758777336108189,0.9592055673218209,9.470664906493164,5496.333418142002,3.9990288530310423,1.5997503772570465,-0.04853736734832858,65.61946851133233,0.0013771588791007554,0.0011888761356803057,0.0181,0.016186062294997323
10,1,1.128017721544052,0.28,0.0,2.1,3.9115287994920815,0.6492357333736036,4.593693862495635,6120.833340396927,4.201675259914881,1.3940071716665765,-0.16739491448450178,87.61016456319841,0.00044572180919604236,0.0033860954588815773,0.0181,0.012310725860119573
11,1,1.1116978694410429,0.28,0.0,2.1,2.2068751405343887,0.3465548722343856,4.792621595891778,6209.494576338244,4.3356422729129935,1.1860880406281393,-0.10331568987133698,110.30172204635164,0.00013725438575052363,0.0022313584279454457,0.0181,0.01426799291458428
12,2,1.1990769587260588,0.28,0.0,2.1,4.731784105191495,0.991264359150226,3.7207226349248192,5459.767496672797,3.7818502995797423,2.3280778031978344,-0.01864273039588587,42.29253147794579,0.001111758752839996,0.00045842702843379435,0.0181,0.017339471030857152
13,2,1.0439008806001355,0.28,0.0,2.1,7.995715631297362,0.986034394103982,5.862122164455223,5310.001756374535,3.837953696677956,2.035222807561308,-0.019781708756556868,48.11758706546009,0.0011550892675033476,0.00051138186666988,0.0181,0.017294056206226788
14,1,1.1116978694410429,0.28,0.0,2.1,2.529785614033998,0.39726286011797024,4.792621595891778,6204.845553719118,4.316918545145033,1.2119335013717736,-0.11835956046362607,106.84111223330696,0.0002111008866343154,0.0031893945888556985,0.0181,0.01378221480516805
15,1,0.9555987440125916,0.28,0.0,2.1,3.1537954359553484,0.27973075359897537,8.624572596212923,5802.049394670107,4.477385546050341,0.9340920779009264,-0.04530288151255196,146.58993889999982,0.00017401828465754866,0.0027695774004420637,0.0181,0.016307060909240063
16,1,0.8236162093393309,0.28,0.0,2.1,12.841666711537886,0.6669465862848485,15.74157640425576,5493.882601753182,4.413220589246077,0.9336773527640853,-0.10649107358350587,136.81509448342857,0.0003389878115241291,0.0029697675814125968,0.0181,0.014164051634273554
17,1,0.931790710764543,0.28,0.0,2.1,9.134862106106556,0.7387249014805229,9.565606337475344,5783.670661638558,4.2888446978521095,1.1457814571801606,-0.10408119531444268,107.14794127903815,0.00048033592290955463,0.0039629537440969975,0.0181,0.014242865710896314
18,2,0.8236162093393309,0.28,0.0,2.1,19.16088727939012,0.9951425035580606,15.74157640425576,4926.281931706182,3.777199809946712,1.9387128142525816,-0.02794066254087488,45.6192477396971,0.0006058047264027844,0.00021607700103654093,0.0181,0.016972191069758974
19,1,1.1660237393358672,0.28,0.0,2.1,3.5662909275142045,0.6717520713121139,4.136310520223437,6152.271479030786,4.166343460425761,1.4761369203000845,-0.1893280061601121,81.6666042247866,0.0004219540387332119,0.0029294177782326902,0.0181,0.01170443808755402
20,2,0.9587073431510392,0.28,0.0,2.1,10.201344547464824,0.9156961498936943,8.510111025240688,5709.783317325351,4.0792984898689335,1.4780857338001805,-0.07038676682538522,74.77949466200405,0.0010626927631572742,0.0025550819951469794,0.0181,0.015391884934644244
