,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx,weights
67602,6439678,2,1.14,0.32,-0.2,2.5,3.4960627500133765,9.54743363637998,2.7569653470031503,5719.519655620154,3.6924610198119705,2.515620237379304,-0.21651356295546995,0.6203628676957322,0.001257784921094058,0.00038919519304331235,0.011420327935091498,0.01099423490406267,0.6203628676957322
48896,2417755,2,1.2,0.26,-0.4,1.9,3.1064334864072567,6.450852200514792,2.9492872756421704,6732.8688499734835,4.031401687244181,1.7486865928135147,-0.5767367360719684,-0.9590814684518492,0.0005819979769892213,0.0014392688173157642,0.0072057397870183,0.004796692064984414,0.9590814684518492
82823,8528534,1,1.155,0.25,0.05,2.0,5.504205649919831,5.480288914381591,5.544714707730262,5976.087462915778,4.146437309679707,1.5029884325863758,-0.07333506272467365,-0.7868275476692759,0.000969723374428301,0.004984227384669915,0.02030853402286554,0.015287747889355375,0.7868275476692759
3221,8344458,2,1.115,0.31,-0.35,2.4,3.3321891209424708,8.099229270811616,2.77070303183716,6579.9104138820385,3.8989458205487613,1.962243606075468,-0.4369343599389872,0.10064849904217965,0.0016885284453817151,0.0019373027622408558,0.008084973017932434,0.006618265949408517,0.10064849904217965
81009,2215119,2,0.93,0.3,-0.2,2.1,7.732036080230659,7.64291574190586,6.574522139931773,5968.043412599999,4.060635360908043,1.4874508276308471,-0.31878219487592657,-0.2795775131362461,0.000825404082853698,0.0018523639174060638,0.011420327935091498,0.008687531253751327,0.2795775131362461
56810,8165688,1,1.075,0.31,-0.45,2.2,2.183649708884689,3.6040529108258297,2.9190975902516585,6855.720522746143,4.225244579442356,1.3244227102416648,-0.7901380417941527,0.6255058975611263,0.0004725769167357615,0.002680454151796963,0.006422122345127717,0.002934543374615734,0.6255058975611263
29901,4280342,2,1.19,0.26,-0.5,1.7,3.6002582056736268,9.543994815554024,2.82645279773369,6101.5126463724,3.7070984962889297,2.5271577211090266,-0.5605810306683017,1.394527235247061,0.001376433569997637,0.0005051009489744351,0.005723722564904768,0.004978488911865827,1.394527235247061
4767,1335701,2,1.13,0.28,-0.3,2.5,4.259409256792398,8.801807260860596,3.3635322854130236,6184.693241984021,3.8282321532692487,2.1422616683325924,-0.36036321147254335,0.38605333986905777,0.0014763705999224876,0.0009312382107318217,0.009071488928653629,0.007894331572574746,0.38605333986905777
99059,3969252,2,1.13,0.24,0.35,2.3,12.358960869250133,9.009790232815385,9.410865649789097,5267.4331643328005,4.031765257663162,1.6947787212187213,0.3172401107458318,-0.201941718985708,0.0012279948612044188,0.0006008508798721612,0.04052085260808695,0.03757670416017919,0.201941718985708
681,6120520,2,1.05,0.28,-0.4,2.3,5.360447126770069,9.52478240937368,3.9590075714878936,5688.400598463178,3.72595988248158,2.321503411798544,-0.4222010687854996,0.19443220619794488,0.0011810340821677067,0.00032969839701396664,0.0072057397870183,0.006846640205774092,0.19443220619794488
77202,3940918,2,1.12,0.32,0.1,2.1,3.915999139591893,5.7045484415128955,3.96739425436423,6108.903681065158,4.118569060942424,1.528431804648159,-0.028383431581066976,1.7000401772645688,0.0009492884462005811,0.0010918846757163037,0.02278654995347443,0.01695489651119384,1.7000401772645688
75021,6693668,2,1.13,0.28,-0.4,2.3,3.931268181556713,8.713249517019632,3.121205904439796,6312.615361166009,3.828867618631561,2.1406746122095224,-0.4701124241974027,-0.38172525543207314,0.0015213649155831814,0.0010690701804305092,0.0072057397870183,0.006131491784185491,0.38172525543207314
37899,4736038,2,1.19,0.26,-0.4,1.9,3.7541031519190295,8.886991108457432,3.0227183379626257,6182.483417862576,3.7787413389672624,2.3274724795870565,-0.4721793801053216,-0.889053493479345,0.001452619886061905,0.0008459944529639607,0.0072057397870183,0.006102379251863886,0.889053493479345
