,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx,weights
67370,2315103,1,1.04,0.32,-0.4,2.5,2.783560342140869,4.504735854630951,3.1219646900388804,-43.34959901482762,4.1848679904234425,1.3646690784717552,-0.7694771474985368,82.94820155670143,0.00025237626424309763,0.0015571841158795177,0.0072057397870183,0.0030775238506115465,43.34959901482762
48932,788821,1,0.8,0.3,0.2,2.1,0.5889434761900445,1.0592225058572051,19.194936627923802,-20.442926382161204,4.622175183341787,0.7234392682197738,0.19568491407955127,196.86062285742128,0.00023294035532217793,0.002365023844105361,0.028686566783546162,0.028402952594411637,20.442926382161204
82700,6910306,1,1.2,0.24,-0.2,2.1,1.932078767909372,2.3148220141995464,3.997531632928253,-23.323776573697614,4.2838028641550645,1.3080786811309435,-0.49280014843926,97.19499826105564,0.00015022130494948165,0.0016948364399210214,0.011420327935091498,0.0058194029039096784,23.323776573697614
3132,3583022,2,1.09,0.32,-0.2,1.7,3.098392660374288,5.584242347375581,3.1487945204061387,-117.28930534028041,4.0579233596718485,1.6168355954894604,-0.5423988172439382,67.26141827487305,0.0014824336548886527,0.000757787315936731,0.011420327935091498,0.005191343397996991,117.28930534028041
80863,1483854,2,0.84,0.3,-0.2,2.3,12.561753610759359,9.812338199329313,10.011607745596137,3.390446927951416,3.7175483805678633,2.096637079110202,-0.2216239981780031,40.784666063345455,0.0006696758404380477,0.00020314832781592743,0.011420327935091498,0.010865621605614936,3.390446927951416
56643,1185776,2,1.07,0.28,-0.1,2.5,6.458632220369568,8.79958496476828,4.770757376345029,-1.8240032301300744,3.9194362401036975,1.8762750183142984,-0.13668590153921373,55.190255299234025,0.0013982445990381547,0.0009750467127724873,0.014377341048509497,0.013212733437457144,1.8240032301300744
29693,7497987,2,1.2,0.26,0.1,2.5,6.239841591975894,9.467286506871583,4.888573132665263,-11.938011509163516,3.805484284213057,2.2664463794721508,0.08663514128427326,43.58850047669012,0.0016242405967627738,0.000631764186167949,0.02278654995347443,0.022096002794159682,11.938011509163516
4640,2617317,2,1.04,0.3,0.35,2.3,8.058660920831471,5.4280857592780505,7.6634410676152305,8.943224509553147,4.2857926146615215,1.214534315223511,0.2811502103339732,103.83851931186287,0.0003317253807737437,0.002193752969794072,0.04052085260808695,0.03458030227283953,8.943224509553147
98950,5806587,2,1.14,0.3,-0.2,2.1,3.0884587716853265,5.615677472919287,3.145195612517465,-15.381186426865497,4.074361958002991,1.6225398179690038,-0.5156525973558417,68.34244206897411,0.0013208224800914789,0.0014920180712774678,0.011420327935091498,0.005521104630205834,15.381186426865497
609,1047237,2,1.1,0.32,-0.2,2.5,3.0418685476009464,5.615389104155293,3.0652949740371818,48.485089685702405,4.094208844016946,1.5577631636742388,-0.5198367182126888,70.69381979032725,0.0009042611126737816,0.00027982804102272274,0.011420327935091498,0.005468168095807586,48.485089685702405
