,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx,weights
67654,297212,2,1.2,0.28,0.0,2.1,3.769666439378813,5.932838722021892,3.782354398433177,6222.220540692488,0.006563278414268403,1.6791128824950756,-0.17180995644123134,68.19925277990697,0.0007889260364105657,0.00020749960901145226,0.0181,0.012186208893178079,0.006563278414268403
49052,5148501,2,1.04,0.24,-0.4,2.1,7.459013989584773,9.919179323640389,5.714096871480055,5202.588621295095,-0.0028519937773943127,2.5637320950931755,-0.411859556598484,33.646572973190224,0.0008559294065482825,0.000304879914525491,0.0072057397870183,0.007011630447761847,0.0028519937773943127
82707,3193072,2,1.2,0.28,-0.5,2.1,3.0871539067879543,9.689154774114769,2.444025424716699,6198.214567717302,0.01672528041426702,2.6331484586507026,-0.5574424171934169,34.240517766053216,0.0013706594077984675,0.00039518192107912414,0.005723722564904768,0.005014598398962103,0.01672528041426702
3175,1433562,1,1.05,0.26,-0.1,1.7,3.551675237131436,2.6275452668823243,6.217418231367751,5934.079318499576,0.001691120362166565,1.1680879918022329,-0.2191560372464436,110.17455079890318,0.00016800100266744364,0.0018008333997340809,0.014377341048509497,0.01092754333978727,0.001691120362166565
80959,6316335,2,1.19,0.28,-0.4,1.7,3.3153012622001987,9.535970236347985,2.668136951386702,6102.262104250409,0.02094494259853974,2.5446128918490807,-0.4659397796706861,36.312292976747365,0.0013701155013769938,0.0005288293812765188,0.0072057397870183,0.006190686265602769,0.02094494259853974
57061,6227253,2,1.0,0.3,-0.3,2.3,5.759834369051075,8.772917121241978,4.392480113434459,6046.473892218885,0.002165140630592255,1.9017271178103925,-0.35486742311435604,52.062062608290795,0.0015150559489260226,0.001112797601355242,0.009071488928653629,0.007994865313635116,0.002165140630592255
29758,1710196,2,0.97,0.24,-0.2,1.7,10.048818556765305,7.225803740048943,9.189276924513347,5688.569241692487,0.0022859555267729093,1.4423630467301891,-0.333366144950538,78.04546575514269,0.000313114465660248,0.0009005270945975363,0.011420327935091498,0.008400641083486622,0.0022859555267729093
4741,6387755,2,0.82,0.26,0.25,1.9,30.908259104911107,9.863392530156327,25.903715712548383,4531.879308139285,-0.0013608697902505185,2.060656289760892,0.2214259475493533,41.581369181754006,0.0004924171615054506,0.00011428098912691365,0.0321868573217045,0.03013731256925337,0.0013608697902505185
99061,7338563,2,1.04,0.3,0.4,2.3,9.144713922671599,6.035798878677024,8.219391603642629,5696.017966562914,0.0046435677264158315,1.241605692078929,0.3343854327194129,100.513821040167,0.00028647213048362766,0.0015998861803516171,0.045465144410323406,0.039089850330970025,0.0046435677264158315
688,2489307,2,1.19,0.32,0.3,2.1,4.343244836302514,6.522188390770684,4.174090785649552,6027.864342069583,-0.010445192931666014,1.7324363756005057,0.2296632889021371,65.73861929778154,0.0002966065700602559,0.0007481989804556942,0.036114247900936716,0.03071438782819795,0.010445192931666014
77220,1172352,2,0.89,0.24,-0.5,1.9,11.034859158045382,7.786298536486973,10.156246672929413,5831.133964124015,0.0015620225416954625,1.4048763552469057,-0.65067899519228,77.38192471712135,0.0007773006706550673,0.0016418154802521625,0.005723722564904768,0.004045755001370707,0.0015620225416954625
74962,659641,2,1.1,0.32,-0.3,2.1,2.9580962165052216,6.305450506652762,2.8063114200303687,6715.095588518417,-0.010163639878142838,1.6700860033940703,-0.4885366778645433,63.99827320493486,0.00044404841312016834,0.0013918034015817926,0.009071488928653629,0.005876813342447887,0.010163639878142838
37945,4953538,2,1.17,0.3,0.2,2.1,5.691259145557782,9.135949630615592,4.511226999762642,5409.217203159306,0.0013070130771186683,2.1221905539111576,0.17723060469110122,48.04173376810583,0.0011398184762280044,0.00038763054471280256,0.028686566783546162,0.027221319914353618,0.0013070130771186683
49721,1072977,1,1.09,0.3,0.0,1.7,4.174437626903772,5.00797721008129,4.456258007804856,5955.091533318874,0.008442445108447494,1.482208336105748,-0.21721785053169887,78.89362345202484,0.00021405096391240595,0.0014546055062667484,0.0181,0.010976420199197085,0.008442445108447494
93003,7417014,1,1.07,0.32,-0.1,1.9,3.5562991150576613,5.155717861031947,3.716252228218026,6159.474086092099,0.009856598217862889,1.5023492818894455,-0.40614592638515945,75.8519358085494,0.00037721409364432473,0.001740092109768554,0.014377341048509497,0.007104485766156053,0.009856598217862889
39721,4848164,1,1.09,0.32,-0.4,2.5,2.3536067753022243,4.52848153084722,2.6884350771999137,6836.213500591543,-0.0016967709204838144,1.4284705059182776,-0.7157064743469936,79.56864397317493,0.0004894441453343381,0.0019065681275146074,0.0072057397870183,0.0034831493824459,0.0016967709204838144
97349,1879947,1,1.2,0.3,-0.1,1.7,1.942799923132655,3.237358318036391,2.9566736367643403,6455.7547903576415,-0.0056983903659366675,1.513867702363244,-0.37884843347320857,77.6209938683076,0.0008406846686429821,0.004240708329852905,0.014377341048509497,0.0075653694504251535,0.0056983903659366675
52780,2229817,2,0.93,0.26,0.45,2.3,24.440263964525148,9.456826086761904,20.088125323726143,4783.693961939034,0.0014504325647948235,1.5872695084083803,0.40735756253474814,66.02223429685698,0.0012695557979729398,0.00041046819002493734,0.05101273105588661,0.04624194974693933,0.0014504325647948235
