,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx,weights
66758,589340,1,1.09,0.26,-0.5,1.9,3.1957537480678626,4.179180921267059,3.8032565352171672,6541.15481551711,-0.001939657648157196,1.3866314569103426,-0.9094793985131362,83.34916131998554,0.0003151753604767835,0.00212298622540108,0.005723722564904768,0.0022294573897235067,0.001939657648157196
48315,52317,2,1.19,0.32,0.25,1.9,3.986733894398103,6.195516361012621,3.9304090305907917,5984.311536849351,0.012250345060635177,1.6645541565275004,0.15916267846775314,69.6373981875884,0.0008167260826843919,0.00027005164616178407,0.0321868573217045,0.026112067115523184,0.012250345060635177
82439,5689822,2,0.95,0.3,0.3,1.9,14.022371157843438,9.357057970529857,10.824214537589256,4968.732636979369,0.0006567960923113796,1.7545350540052924,0.2680513329353397,57.4704760175459,0.001166218637663317,0.00039367449723520803,0.036114247900936716,0.03355288804885294,0.0006567960923113796
3156,6802494,2,1.15,0.28,-0.4,1.9,3.2944518446517392,7.025073364640398,2.9584062326152463,6655.460061477374,-0.0015109324831194385,1.7823013791994742,-0.5232339324352017,58.73342570002092,0.00046332781528602736,0.0010376466767571537,0.0072057397870183,0.005425560897345775,0.0015109324831194385
80691,2656722,2,0.91,0.26,0.45,1.9,24.208993520213642,7.599309879357876,22.232620890625345,4950.616989506724,0.0017766100135477771,1.180892365093414,0.35389162411284586,101.74064349970487,0.00023968195297327828,0.0008179766360397188,0.05101273105588661,0.040885583387138186,0.0017766100135477771
56029,5403581,2,1.19,0.26,-0.1,1.7,5.074654996125543,9.171775861274858,4.0253608615601735,5482.756651500901,-0.002616440048396353,2.387355004124005,-0.13240395311257208,40.947062740359954,0.0011653532947851512,0.00042246274082885504,0.014377341048509497,0.01334364937719411,0.002616440048396353
29428,1588962,2,1.2,0.24,-0.4,2.3,3.7066973257368834,6.862746904308704,3.3267019254039663,6585.72495841403,-0.0009990710656225638,1.7760691007946332,-0.5241617088301409,61.06371250720346,0.00040244283685193945,0.0010619931015266038,0.0072057397870183,0.0054139827294168285,0.0009990710656225638
4563,1964695,2,1.15,0.32,0.4,1.7,6.3976978926520776,8.455072115240178,5.370669243496331,5426.040986337227,0.0016807985210348627,1.9555934551654144,0.34702741901044315,54.38354291028535,0.00129727133200737,0.0012879055744533519,0.045465144410323406,0.04024444975801262,0.0016807985210348627
98985,3192976,2,1.2,0.28,-0.5,2.1,2.8351420379201366,8.049575557180368,2.444025424716699,6955.800827986945,0.005026929248925875,1.9147949693934123,-0.592705564627258,52.80404280960178,0.0017599831257667173,0.0020439391311347643,0.005723722564904768,0.004623522870619502,0.005026929248925875
688,5083850,1,1.04,0.26,0.35,1.7,7.944640992414827,3.3101205936107347,11.465220810780195,5326.186652757382,-0.0005019652112024902,1.100752185227312,0.2770129310646375,120.66399469494488,0.0001706741610201093,0.0017977002656285324,0.04052085260808695,0.03425243934444823,0.0005019652112024902
76795,1940283,2,1.18,0.32,0.25,2.3,4.123786313387378,6.1928689026764525,4.0346349565567,6166.350285683802,-0.018106394839280636,1.6595107496893315,0.17727443584661326,69.49503575255142,0.00030301570795686155,0.00040716503844140384,0.0321868573217045,0.02722406736376193,0.018106394839280636
74432,6361707,2,1.08,0.28,0.5,2.3,11.70532834799351,7.410662603827995,9.56107511813656,5509.117875839629,-0.0010927480977773064,1.3563601858465275,0.4430480674874737,89.91769457239224,0.0007506409966878412,0.002436481634685184,0.05723722564904767,0.05020264998992102,0.0010927480977773064
37029,5326938,2,0.99,0.28,-0.5,1.7,5.8590849729986525,8.362586942858663,4.837999458355894,6069.337143948575,-0.0027309714948983077,1.8359167971606398,-0.5939153908477905,53.67750639446093,0.0014036444446277644,0.001591525978020647,0.005723722564904768,0.00461066091759792,0.0027309714948983077
48865,6643636,2,0.96,0.24,0.4,2.5,23.60535526720409,9.262818612561395,19.61840398953019,4952.296564295857,-0.00045404171220176693,1.4772471053636784,0.3508100710328116,74.83995817662286,0.0012900091046054976,0.0005290897492462032,0.045465144410323406,0.04059650496531792,0.00045404171220176693
92946,6555662,2,0.94,0.28,-0.4,2.1,8.015033524049159,9.507447830997142,6.321138915885956,5525.147674699753,0.001486472164877179,2.064188282816793,-0.4295942417662052,44.72437297681762,0.0012015992205106644,0.00037237339620277416,0.0072057397870183,0.0067310735037038796,0.001486472164877179
38808,13645,2,1.08,0.3,0.2,2.3,5.628045199539771,5.076759552490655,5.8471875253831325,5993.489538700188,0.004557881255168195,1.3118661626365091,0.11933729790785688,94.39568351823021,0.0005899426149552066,0.0006356378274766651,0.028686566783546162,0.02382406540961909,0.004557881255168195
97370,8480936,2,1.115,0.29,0.05,2.2,6.258210357928437,9.942167378314801,4.685634689514491,5110.304703697303,0.0037164269605287807,2.6911871947194137,0.04268475412823845,32.20881475752612,0.0005991977431557037,0.000261132742158221,0.02030853402286554,0.019969322417370608,0.0037164269605287807
51841,4226345,2,1.2,0.24,-0.1,2.1,4.481269694801299,5.693455300722587,4.467517353562245,6183.136765616689,-0.004547651893061353,1.6365840503354063,-0.28422864136772924,71.15387394062535,0.0006687713926500577,0.002549948310447581,0.014377341048509497,0.009406973779592015,0.004547651893061353
