,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx,weights
67654,297212,2,1.2,0.28,0.0,2.1,3.769666439378813,5.932838722021892,3.782354398433177,6222.220540692488,4.066848149032757,-0.01048357607595607,-0.17180995644123134,68.19925277990697,0.0007889260364105657,0.00020749960901145226,0.0181,0.012186208893178079,0.01048357607595607
49160,3770255,2,1.11,0.3,-0.4,2.1,3.7534263787116466,9.395551179610397,2.8975846310999334,6006.454276996154,3.694234132845672,0.02838738696816545,-0.4494801037688689,36.63911174629597,0.0013308750578315722,0.0004423154926719297,0.0072057397870183,0.006429814905383209,0.02838738696816545
82701,5123387,2,1.14,0.32,0.0,1.7,3.6991352581148593,7.156509400532797,3.3087633615989067,6081.556253276226,3.918955034976536,-0.014387823448959614,-0.1500176927531564,53.06662816192535,0.001501891145374867,0.004000194169766935,0.0181,0.012813296684933443,0.014387823448959614
3187,105921,2,1.1,0.28,-0.5,2.1,3.7900648708522784,7.46090458616173,3.1765012705833207,6632.9594051424365,3.9897704910399185,0.00656908656027233,-0.5797208112088188,60.00379801024935,0.0011899909468913107,0.002141181602169695,0.005723722564904768,0.004763846548271221,0.00656908656027233
80973,7945779,2,1.2,0.26,-0.3,2.5,4.048259236075404,9.327836549256503,3.1863863277353817,5849.36471205503,3.7343637591181635,-0.013093327165591084,-0.3268662620170573,38.91528082566651,0.0012040148917049542,0.0003512397371315812,0.009071488928653629,0.00852731513124408,0.013093327165591084
57081,4094909,2,0.82,0.24,-0.4,2.3,16.91419897468281,9.014133703697773,14.811483622556713,5567.733538218784,4.040102903518879,0.0009452334608752722,-0.4788548246777234,72.60940958103686,0.0014867119819554128,0.001038428335239483,0.0072057397870183,0.006009298125355118,0.0009452334608752722
29819,8014853,2,1.15,0.28,-0.5,2.5,3.4671021007739915,8.605643825244671,2.784835242017319,6579.178756671836,3.856474244644147,0.018527387138517426,-0.5690939876050987,47.098235581609686,0.0015949046421666765,0.0011663900165602148,0.005723722564904768,0.004881851755092067,0.018527387138517426
4700,4865261,2,1.19,0.26,-0.3,2.3,4.229097560590389,9.641623975946153,3.2689001017775965,5516.244717406188,3.691373078834554,-0.04443903189056719,-0.314289832219028,36.05308797847463,0.0012572971399594651,0.00038460527928474436,0.009071488928653629,0.00877786187450437,0.04443903189056719
99072,2110984,1,1.18,0.32,0.4,2.3,4.337205916334656,4.921993771140765,4.935214084290704,5932.384256584365,4.225962969246669,-0.04319849452546687,0.33793226321991754,90.59156661556334,0.0004940290408687696,0.0028383503826401317,0.045465144410323406,0.03941039957200708,0.04319849452546687
697,8437737,2,1.035,0.31,0.45,2.2,10.902121941987147,8.65173249531084,8.069102208163336,5436.031925554487,4.066816780164594,-0.0010014643046720728,0.4092570670029897,71.85459466446135,0.0014501835153348836,0.0014187754639641836,0.05101273105588661,0.04644464437737692,0.0010014643046720728
77214,2128912,2,0.98,0.24,0.0,2.5,13.714761336707015,9.75387936671144,10.810428715785498,5078.673241405885,3.7599561407530118,0.004744581493323796,-0.016065608118380138,42.238449436274415,0.0005608862719618987,0.0001809010878163209,0.0181,0.017442670094459947,0.004744581493323796
74974,6548321,2,0.84,0.24,-0.4,2.5,16.19951945135655,9.941502461748449,13.47152398154635,5185.174560423854,3.6439846981711232,-0.008691205293429594,-0.4205620931766528,35.81867744813528,0.0005113538697372449,0.00013139228616732002,0.0072057397870183,0.0068725274267423895,0.008691205293429594
38032,6002996,2,1.07,0.26,-0.2,2.3,6.9381902309172485,9.677003614555467,5.085161149654871,5312.69911951951,3.7347550877268167,0.01380678725226625,-0.21279582400434865,39.74086587285758,0.0014812734781337958,0.0005368426790777758,0.011420327935091498,0.01108875404978215,0.01380678725226625
49797,6522805,2,1.15,0.32,-0.2,1.9,3.172763050442139,8.434552496116,2.631857182907249,6274.198976452281,3.808634074266833,0.020796384959074654,-0.2854177742047249,43.850354488644676,0.0015364090386878848,0.0013696461303406293,0.011420327935091498,0.009381251967368458,0.020796384959074654
93062,6479263,2,1.19,0.28,-0.5,1.9,3.135348879739323,9.451644643319716,2.5051069677347644,6347.065164978584,3.7355767449172017,-0.048231319444964615,-0.5630820630517357,38.41565405067614,0.0014146433340228599,0.0005261276711591156,0.005723722564904768,0.004949900987011083,0.048231319444964615
39815,7315089,2,1.17,0.32,0.0,2.3,3.478064873186714,7.521580909592896,3.0500469284119256,6264.16495909656,3.9185776684361118,-0.006017052620044705,-0.13628431904288876,52.81757592284186,0.001343916284801032,0.003022198266945164,0.0181,0.013224956610041942,0.006017052620044705
97378,6013726,2,1.19,0.28,0.5,1.9,9.207274918654091,9.379807202491342,7.468473528902093,4831.872930109857,3.865477130924697,-0.003885603122863124,0.4788462907809554,48.76555957457568,0.0014277452797956866,0.0004903057378291553,0.05723722564904767,0.05451611081447146,0.003885603122863124
52858,3513940,2,1.0,0.24,-0.3,1.7,8.603480590467447,8.25730151153257,7.275042511888484,5733.12927518217,3.9671588662888815,0.002982604076012585,-0.4101572342428496,61.14388633868097,0.0012935110581405755,0.001831150011930016,0.009071488928653629,0.007039168165791977,0.002982604076012585
9418,3275898,2,1.2,0.3,-0.2,2.5,3.377575236870685,9.602491827008347,2.6474839612071737,5634.195619737209,3.6877256351256817,-0.05276917849195728,-0.2133371356041144,35.69441910412577,0.0011834606318913829,0.0003896092453156697,0.011420327935091498,0.011074941458994932,0.05276917849195728
81498,2807920,1,0.85,0.26,-0.4,2.3,10.930929354647116,6.368012241041452,11.104849725491832,5928.262819240042,4.258369733980187,0.002751788689301149,-0.5532870883368848,103.45937186863523,0.00048687526178957234,0.002183192714663829,0.0072057397870183,0.00506280833633757,0.002751788689301149
21207,2907510,2,1.2,0.26,0.45,1.9,7.918399481999555,6.160917132483443,7.928830248226652,5566.885276790855,4.1711402828604625,0.013934243279862812,0.3861201966463986,82.90436468465184,0.0004509563190738048,0.00012539396113447898,0.05101273105588661,0.044035078158507934,0.013934243279862812
