,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx,weights
67284,6452652,2,1.05,0.32,-0.2,2.3,4.23731337903557,7.627245471004019,3.5342413513166857,6330.705836212696,3.963747262507963,1.7673343943271318,-0.30293223629616073,58.309440237745825,0.00112165566490082,0.0021081534388767693,0.011420327935091498,-8.496749790226979e-05,8.496749790226979e-05
48884,6042757,2,1.16,0.32,-0.3,2.3,3.030570598561233,9.777557321156877,2.403021655690845,5732.527883941801,3.619789339227923,2.7589924226701026,-0.31924018790166153,32.161327798372824,0.0011607051607962929,0.0003008131816105708,0.009071488928653629,0.00016501048154489613,0.00016501048154489613
82585,8261106,2,1.075,0.29,-0.05,2.2,5.9088099556944895,8.11351479780083,4.622121814754268,5964.179635835669,3.96256871042521,1.7901222807524593,-0.11468117785905932,59.44989932004828,0.0013671513685107985,0.002389128510871364,0.016131641980220796,0.0001293190604168097,0.0001293190604168097
3264,905751,1,1.17,0.28,-0.1,2.3,3.3180807589487795,4.772378025235919,3.713432293268891,6283.324935233463,4.1489724128393135,1.5085211418166908,-0.3316810512644378,78.78459754677759,0.00036917217439546494,0.0017815490029385872,0.014377341048509497,0.0002783447286308898,0.0002783447286308898
80869,8393169,2,1.155,0.25,-0.25,1.8,5.2611420860618585,9.545970676952688,4.010297058158505,5360.938275562023,3.709661161920223,2.4817309321284964,-0.26932562990493336,37.81414393090122,0.0010825758753379498,0.00029547312034627904,0.01017837798594532,3.125850980424845e-05,3.125850980424845e-05
56768,4955105,1,1.02,0.28,-0.3,1.7,3.7261611042136895,3.716031806236969,4.799316472213446,6178.494257200572,4.221430920842215,1.2957741213956389,-0.7336399404673994,91.56810796535623,0.00018778203646414933,0.001437981675219635,0.009071488928653629,-0.0008259516652289341,0.0008259516652289341
29751,658486,2,0.93,0.28,-0.1,2.1,9.612333609030113,6.897130125250298,8.826603374766211,5829.7642785497155,4.174942699764653,1.3044879003169187,-0.20602774697274429,88.39117269607729,0.0003057897263716456,0.0010859884311253398,0.014377341048509497,0.00015037459322521894,0.00015037459322521894
4765,479974,1,1.03,0.28,-0.2,1.9,1.379035693968339,1.5770538938840157,5.042647670615034,6180.969185834482,4.398875352210542,1.0615137228986806,-0.28250223686632203,124.77489828154964,0.0001550585405898919,0.0020483229810939613,0.011420327935091498,0.00041071900797032615,0.00041071900797032615
99050,1132136,2,0.9,0.24,-0.1,2.3,16.724958415660602,9.505394227033175,13.874704680804568,5130.010011750752,3.9036398350480868,1.7524072647120357,-0.1334790112761011,55.87683207658561,0.0013735508072587155,0.0004150124977698178,0.014377341048509497,2.0158916053874404e-05,2.0158916053874404e-05
723,8191618,1,1.195,0.31,0.15,1.8,0.151786520035319,1.0774639576226026,3.639438496682146,6326.668397668532,4.348532294880365,1.2116089755496364,0.1279352928232419,108.9453014781025,0.00025115146155812264,0.0032321372692690037,0.025566929557671852,0.0011338000855059677,0.0011338000855059677
