,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx,weights
67011,8099888,2,1.115,0.31,-0.25,2.0,3.854040778701118,9.463827248119108,3.0018846680012303,5730.981191339603,3.675900139775753,2.535543972242412,-0.28188353880717737,35.976375423204495,0.0011944905359992765,0.0003535586669817792,0.01017837798594532,3.16224000948715e-05,3.16224000948715e-05
48835,4178792,2,0.83,0.3,0.35,2.5,19.8649095961672,6.588137940213905,19.498983653859515,5298.432991720689,4.365747404133566,0.9895949061059656,0.2489966846472698,125.81650562168986,0.00032163955914903553,0.0016459773518378018,0.04052085260808695,4.5600350640604555e-05,4.5600350640604555e-05
82619,129432,2,0.87,0.3,0.1,2.5,14.915417481946793,9.524350431214271,11.848530239104981,5212.007716218458,3.899160160131917,1.731813122979132,0.07036314609295052,55.66177827254342,0.001123075589186725,0.0003497931820697908,0.02278654995347443,1.4183830766488988e-05,1.4183830766488988e-05
3089,3001464,2,0.99,0.26,-0.1,2.1,9.446721008743095,7.8709816038041955,7.997148805514606,5779.09977387342,4.0742675218576565,1.5108160613941255,-0.17975166300901044,73.51515716831955,0.0009946675877445534,0.0020084200250935487,0.014377341048509497,-2.0243530848441813e-05,2.0243530848441813e-05
80811,4176555,2,0.98,0.32,-0.2,1.7,5.750255840872033,8.547511575941552,4.382273489542647,5872.467145729348,3.86828038104397,1.9044565669801328,-0.2640787996142633,51.50721669596668,0.0015355286842053928,0.0015084114166817875,0.011420327935091498,-2.5429090834014033e-05,2.5429090834014033e-05
56461,2264328,2,1.2,0.32,-0.2,2.3,2.900109705267638,9.554820795222092,2.321477431504499,5784.759128455573,3.6471966724121816,2.719456689496736,-0.2219735241185646,33.503121686671854,0.001308862755472053,0.00036095451871132056,0.011420327935091498,9.548793968070825e-06,9.548793968070825e-06
29957,8107716,1,1.155,0.31,0.05,1.8,2.9414735384838675,4.224610785588876,3.5812328276749508,6127.5557511892,4.133571224679344,1.5256329381479452,-0.2369372653877279,77.02154362276144,0.0004584422827034045,0.0023480799827516607,0.02030853402286554,-9.561998782356353e-05,9.561998782356353e-05
4646,3579631,1,1.09,0.32,0.4,1.9,0.8149724914080894,1.2498239249200782,6.474580194650347,5794.349499173196,4.44868975544641,1.0311291106516003,0.3856009655818831,135.60250658980914,0.00015579513622032622,0.002297413455099213,0.045465144410323406,-8.681196540534854e-05,8.681196540534854e-05
98990,6874744,1,1.17,0.24,-0.5,1.7,1.538672395912782,2.188432844256865,3.3340050002886312,6719.744850850218,4.29711321459292,1.2719821016043436,-0.8016108958878247,97.40509698032095,0.00013377228636160575,0.0018070937092270762,0.005723722564904768,0.0001735105896216224,0.0001735105896216224
631,3428401,2,1.16,0.26,0.35,2.5,7.588933574242543,5.741244047328315,7.662285751895543,5838.38585760211,4.2511183992237935,1.3353261092945432,0.2875617936969279,95.25810199020974,0.0004782452505842255,0.0002427731019120083,0.04052085260808695,-7.897127675622376e-05,7.897127675622376e-05
